尚書省刑部刑部司員外郎	no
提舉常平倉農田水利差役	no
勾當御前忠佐軍頭引見司	no
提舉開封府界諸縣鎮公事	no
鄜延路都總管經略安撫司	no
主管尚書省戶部架閣文字	no
主管尚書省禮部架閣文字	no
提舉陝西等路買馬監牧司	no
幹辦御前忠佐軍頭引見司	no
權簽書經略安撫判官公事	no
提舉秦鳳等路買馬監牧司	no
御制御札名賢墨蹟圖畫庫	no
都大提舉在京諸司庫務司	no
內侍省內侍班院左班押班	no
製造御前軍器所幹辦公事	no
侍衛親軍步軍司都指揮使	no
御前忠佐馬步軍副都軍頭	no
陜西沿邊經略安撫招討司	no
看詳編修中書門下條例所	no
內侍省內侍班院右班押班	no
尚書省工部屯田司員外郎	no
點檢行在贍軍激賞酒庫所	no
尚書省吏部主客司員外郎	no
宣撫處置使司隨軍轉運使	no
總領四川財賦軍馬錢糧所	no
主管某路提舉市舶司公事	no
陜西買馬監牧司勾當公事	no
尚書省工部工部司員外郎	no
御前忠佐軍頭引見司步直	no
四川總領財賦司幹辦公事	no
權發遣三司鹽鐵判官公事	no
開封府界提點諸縣鎮公事	no
主管御前忠佐軍頭引見司	no
侍衛親軍步軍副都指揮使	no
權發遣三司度支副使公事	no
內侍省內侍班院右班都知	no
許埔駐扎御前水軍都統制	no
兵部吏部司封司勳官告院	no
尚書省刑部比部司員外郎	no
尚書省工部虞部司員外郎	no
尚書省戶部倉部司員外郎	no
尚書省戶部度支司員外郎	no
吏部尚書右選奏薦賞功案	no
管勾轉運使計度糧草公事	no
尚書省刑部都官司員外郎	no
尚書省刑部司門司員外郎	no
提點中書制敕院五房公事	no
尚書省戶部金部司員外郎	no
內侍省內侍班院左班都知	no
入內內侍省內東頭供奉官	no
提點開封府界諸縣鎮公事	no
入內內侍省內西頭供奉官	no
御前忠佐軍頭引見司馬直	no
主管三省樞密院架閣文字	no
主管侍衛親軍步軍司公事	no
總領湖廣江西京西路財賦	no
河北兵馬大元帥府參議官	no
提點開封府諸縣刑獄公事	no
主管尚書省吏部架閣文字	no
侍衛親軍司馬步軍都虞候	no
御營宿衛使司前軍都統制	no
秦鳳路經略安撫都總管司	no
沿江水軍制置使司參議官	no
知閤門事兼客省四方館事	no
江淮等路提點坑冶鑄錢司	no
天武右廂第三軍都指揮使	no
經制某路幹辦常平等公事	no
尚書省吏部考功司員外郎	no
都督府主管書寫機宜文字	no
尚書省禮部祠部司員外郎	no
御前諸軍都統制司計議官	no
制置三司條例司檢詳文字	no
勸農副使兼提點刑獄公事	no
提領三榷貨務兼都茶場所	no
總領淮西江東軍馬錢糧所	no
吏部尚書右選注擬掌闕案	no
涇原路都總管經略安撫司	no
權發遣三司鹽鐵副使公事	no
提舉常平茶鹽司幹辦公事	no
