廣南路	ns
興化軍	ns
堡川城	ns
邵武軍	ns
武平場	ns
上杭場	ns
鎮戎軍	ns
南劍州	ns
德順軍	ns
通遠軍	ns
西寧州	ns
積石州	ns
震武軍	ns
建寧府	ns
隆德府	ns
福建路	ns
懷德軍	ns
遵義軍	ns
大寧監	ns
播川城	ns
南平軍	ns
梁山軍	ns
雲安軍	ns
西安州	ns
河東路	ns
紹慶府	ns
咸淳府	ns
太原府	ns
務川城	ns
劍門關	ns
夔州路	ns
桂陽軍	ns
臨江軍	ns
建武軍	ns
建昌軍	ns
荊湖路	ns
嘉興府	ns
寶慶府	ns
桂陽監	ns
茶陵軍	ns
江陰軍	ns
武岡軍	ns
鎮江府	ns
江陵府	ns
德安府	ns
常德府	ns
平江府	ns
臨安府	ns
南安軍	ns
興國軍	ns
永興軍	ns
隆興府	ns
衣錦軍	ns
紹興府	ns
慶元府	ns
瑞安府	ns
江南路	ns
建德府	ns
江寧府	ns
建康府	ns
寧國府	ns
雄遠軍	ns
平江軍	ns
太平州	ns
南康軍	ns
廣德軍	ns
安吉州	ns
兩浙路	ns
懷遠軍	ns
六安軍	ns
樂共城	ns
羅氏部	ns
南廣部	ns
石門路	ns
懷安軍	ns
廣安軍	ns
富順監	ns
富義監	ns
長寧軍	ns
利州路	ns
興元府	ns
隆慶府	ns
大安軍	ns
同慶府	ns
天水軍	ns
西和州	ns
淯井監	ns
遂寧府	ns
鎮巢軍	ns
淮安州	ns
無為軍	ns
安慶府	ns
安豐軍	ns
渠陽寨	ns
渠陽軍	ns
荊門軍	ns
公安軍	ns
漢陽軍	ns
龍陽軍	ns
西川路	ns
益州路	ns
壽春府	ns
清河軍	ns
永康軍	ns
梓州路	ns
西海州	ns
昌元郡	ns
德慶府	ns
南恩州	ns
普寧郡	ns
景安郡	ns
會稽郡	ns
東平郡	ns
東陽郡	ns
樂平郡	ns
樂陵郡	ns
武威郡	ns
武寧郡	ns
武陵郡	ns
永壽郡	ns
永康郡	ns
永昌郡	ns
永陽郡	ns
汝南郡	ns
河東郡	ns
河閒郡	ns
河間郡	ns
河陽郡	ns
泰寧郡	ns
洋川郡	ns
晉康郡	ns
昌化郡	ns
新平郡	ns
崇德郡	ns
太山郡	ns
始平郡	ns
安化郡	ns
安唐郡	ns
安樂郡	ns
定襄郡	ns
宜春郡	ns
宣城郡	ns
封魯郡	ns
常山郡	ns
房陵郡	ns
平昌郡	ns
平陽郡	ns
廣平郡	ns
廣陵郡	ns
廣陽郡	ns
廬陵郡	ns
延安郡	ns
彭城郡	ns
思平郡	ns
淮安郡	ns
淮陽郡	ns
淳安郡	ns
鴈門郡	ns
遂寧郡	ns
鄱陽郡	ns
長安郡	ns
隴右郡	ns
饒陽郡	ns
馮翊郡	ns
高密郡	ns
高平郡	ns
高陽郡	ns
梓夔路	ns
通義郡	ns
靈環路	ns
兩淮路	ns
潁昌府	ns
成都府	ns
永安軍	ns
潼川府	ns
儀真郡	ns
南儀州	ns
零陵郡	ns
進封郡	ns
贈文郡	ns
清原郡	ns
犍為郡	ns
清江郡	ns
清源郡	ns
渤海郡	ns
滎陽郡	ns
潁川郡	ns
潁州郡	ns
濟陰郡	ns
濠梁郡	ns
濮陽郡	ns
瑯琊郡	ns
贈康郡	ns
縉雲郡	ns
臨川郡	ns
臨沂郡	ns
臨海郡	ns
華原郡	ns
華陰郡	ns
蘄春郡	ns
襄陽郡	ns
豫章郡	ns
太寧郡	ns
天水郡	ns
壽沙郡	ns
長沙郡	ns
周漢國	ns
周晉國	ns
文安郡	ns
琅琊郡	ns
太原郡	ns
長清郡	ns
平原郡	ns
京兆郡	ns
東海郡	ns
永嘉郡	ns
水洛城	ns
河内郡	ns
新安郡	ns
隴西郡	ns
南平郡	ns
交趾郡	ns
建安郡	ns
永安郡	ns
大寧郡	ns
東萊郡	ns
福安縣	ns
永平監	ns
長樂郡	ns
萬安州	ns
南雄州	ns
英德府	ns
靜江府	ns
右江道	ns
左江道	ns
慶遠府	ns
鬱林州	ns
太平軍	ns
昌化軍	ns
萬安軍	ns
慶成軍	ns
朱崖軍	ns
吉陽軍	ns
南義州	ns
思唐州	ns
思明州	ns
常樂州	ns
特磨道	ns
海口鎮	ns
定州路	ns
奉化郡	ns
漢東郡	ns
咸義郡	ns
南海郡	ns
安康郡	ns
興平郡	ns
上谷郡	ns
上饒郡	ns
丹陽郡	ns
仁壽郡	ns
信都郡	ns
北海郡	ns
南康郡	ns
南陽郡	ns
安定郡	ns
博陵郡	ns
原武郡	ns
合沙郡	ns
同安郡	ns
吳國郡	ns
和政郡	ns
和義郡	ns
咸安郡	ns
咸寧郡	ns
金鄉郡	ns
永寧郡	ns
信安郡	ns
齊安郡	ns
平樂郡	ns
壽春郡	ns
武陽郡	ns
河南郡	ns
江陵郡	ns
清河郡	ns
陳留郡	ns
懷德郡	ns
普安郡	ns
吳興郡	ns
新興郡	ns
嘉興郡	ns
伏羌城	ns
德陽郡	ns
博平郡	ns
濟陽郡	ns
樂安郡	ns
江夏郡	ns
鉅鹿郡	ns
恩平郡	ns
甘谷城	ns
開封府	ns
應天府	ns
河北道	ns
秦鳳路	ns
廣濟軍	ns
永靜軍	ns
鳳翔府	ns
乾寧軍	ns
乾寧鎮	ns
信安軍	ns
保定軍	ns
保安軍	ns
真定府	ns
開德府	ns
大名府	ns
米脂寨	ns
義合寨	ns
浮圖寨	ns
河間府	ns
燕山府	ns
京西路	ns
青澗城	ns
襄陽府	ns
順安寨	ns
京東路	ns
綏平寨	ns
永寧軍	ns
綏德城	ns
廣信軍	ns
定邊軍	ns
順安軍	ns
永興路	ns
通利軍	ns
京兆府	ns
安肅軍	ns
銀川城	ns
河北路	ns
陝西路	ns
穎昌府	ns
淮陽軍	ns
河中府	ns
信德府	ns
襲慶府	ns
東平府	ns
中山州	ns
慶源府	ns
淮寧府	ns
濟南府	ns
順昌府	ns
延安府	ns
慶陽府	ns
京畿路	ns
河南府	ns
信陽軍	ns
懷寧寨	ns
興仁府	ns
克戎寨	ns
光化軍	ns
琅琊	ns
辨州	ns
化州	ns
象縣	ns
嶺方	ns
平恩	ns
洛漕	ns
石龍	ns
嶺山	ns
龍城	ns
洛容	ns
吳川	ns
馬平	ns
宜州	ns
樂山	ns
從化	ns
思恩	ns
束鹿	ns
柳州	ns
曲周	ns
深州	ns
賓州	ns
永定	ns
寧浦	ns
宜山	ns
忻城	ns
遷江	ns
橫州	ns
靜安	ns
保城	ns
雞澤	ns
麟遊	ns
潮水	ns
昭州	ns
懷遠	ns
武陽	ns
羅城	ns
融水	ns
融州	ns
武仙	ns
來賓	ns
武化	ns
陽壽	ns
象州	ns
安平	ns
上林	ns
饒陽	ns
武強	ns
晉興	ns
如和	ns
思籠	ns
封陵	ns
郎寧	ns
武緣	ns
宣化	ns
邕州	ns
渭龍	ns
欣道	ns
陸川	ns
北流	ns
普寧	ns
天河	ns
平樂	ns
義山	ns
立山	ns
懷澤	ns
鬱林	ns
貴州	ns
大賓	ns
皇化	ns
桂平	ns
潯州	ns
陽川	ns
陵羅	ns
武林	ns
武郎	ns
平南	ns
龔州	ns
寧風	ns
義昌	ns
感義	ns
