	c_office_id	c_office_chn	place	office	title
25008	87484	直隸司掌廣東司印	廣東#直隸	東司	
24903	87379	鎮右營遊擊		右營	遊擊
23474	85949	憲政編查館諮議官		憲政編查館	諮議官
20427	82901	稽查中書科		中書科	
23933	86408	行營守備		行營	守備
24970	87446	正藍旗蒙古副都統			副都統#都統
19275	81749	工部學習行走		工部	行走
19065	81539	輔政大臣			大臣
24547	87023	右營守備		右營	守備
22353	84828	少詹事			詹事#少詹事
24944	87420	正護軍參領		參領	參領#護軍參領
20112	82586	戶部雲南司員外郎	雲南	戶部	外郎#員外郎
21964	84439	旗參領		參領	參領
18123	80597	查勘東西陵歲修工程大臣		西陵	大臣
24780	87256	章京銜			
17527	80001	阿哥諳達			
21570	84045	門監督			監督
18623	81097	督辦政務大臣			督辦政務大臣#政務大臣#大臣
19271	81745	工部屯田司主稿		工部	主稿
23492	85967	縣訓導			
18779	81253	俄使館參贊			參贊
23954	86429	修官			
20385	82859	稽查庫大臣			大臣
23066	85541	圖什業圖汗			
19133	81607	副將中軍守備			守備
24134	86610	顏料庫郎中		顏料庫	郎中
25453	87929	奏事官			
25263	87739	宗室覺羅八旗高等學堂監督		八旗高等學堂	監督
18369	80843	大考閱卷大臣			大臣
23105	85580	外河主簿			主簿
22934	85409	提法使			提法使
18526	81000	都標中軍副將			副將
17638	80112	辦理內閣事務章京		內閣	章京
17893	80367	兵部督捕副理事官		兵部	理事官#副理事官
22453	84928	使日本國大臣			大臣
19207	81681	高宗純皇帝實錄纂修官			纂修官
24249	86725	一等輕車都尉加一雲騎尉			
22551	85026	水陸提督			提督
23769	86244	刑部額外主事		刑部	額外主事#主事
20673	83147	經延講官			
19036	81510	奉宸院事務			
21209	83684	禮部精膳司員外郎		禮部	外郎#員外郎
20688	83162	精膳司主事			主事#司主事
21980	84455	旗下值年大臣			大臣
23729	86204	協左副將軍			將軍
25239	87715	宗人府鑲白旗理事官		宗人府	理事官
25094	87570	中書科掌科中書舍人		中書科	中書舍人
23771	86246	刑部額外主事上學習行走		刑部	額外主事上學習行走#行走
20183	82657	皇子			
19443	81917	管關事			
23145	85620	萬壽書畫局總裁			總裁
25223	87699	宗令			宗令
24816	87292	掌司務廳印鑰		司務廳	
18361	80835	大將軍參贊			參贊
19215	81689	各國事務衙門額外行走			行走
21888	84363	內院博士			博士
22438	84913	實錄館正總裁官		實錄館	總裁官
20585	83059	將軍差遣			
18211	80685	承恩一等公			
17740	80214	堡把總			把總
18339	80813	從耕大臣			大臣
19230	81704	工部都水司主稿上行走		工部	行走
23437	85912	武職隨扈大臣			大臣
20179	82653	皇史宬守吏			
22872	85347	提標前營外委			
21654	84129	磨勘宗室試卷			
24356	86832	印房參領		參領#印房	參領
23475	85950	憲政編查館總務處幫總辦		總務處#憲政編查館	總辦#幫總辦
23285	85760	武備院主事		武備院	主事
22489	84964	侍衛官員軍政大臣			大臣
21541	84016	滿漢武鄉試監臨考試官			
19067	81541	撫標安民中營哨長		中營	
19809	82283	漢提牢			
23689	86164	協守備			守備
19805	82279	漢侍衛專達			
22830	85305	太祖太宗聖訓纂修官			纂修官
18689	81163	督催大學士			學士#大學士
20123	82597	戶部主事學習行走		戶部	行走
20830	83305	看守墳墓閒散佐領			佐領
25326	87802	總督顧問			
17550	80024	按察使篆務			
23721	86196	協右營右哨額外外委		右營	
23647	86122	協辦河東河道事務	河東		
22285	84760	商部右侍郎		商部	右侍郎#侍郎
21071	83546	科爾沁和碩親王			
23352	85827	武闈提調官			提調官
22919	85394	提督			提督
21938	84413	披甲			
19308	81782	工部左侍郎兼理錢法堂事務		錢法堂#工部	
19460	81934	管理出青副都統			副都統#都統
23944	86419	行在領侍衛內大臣			內大臣#領侍衛內大臣#大臣
23700	86175	協伍			
18334	80808	次理事務副護軍參領		參領	參領#副護軍參領#護軍參領
25539	88015	左營守備		左營	守備
24482	86958	右都御史			右都御史#御史
21687	84162	內場右翼副都統		右翼	副都統#都統
23952	86427	修訂法律大臣			大臣
18813	81287	額外主事上學習行走			額外主事上學習行走#行走
18232	80706	城理事同知			同知
21222	83697	禮部牛羊君羊總管		禮部	總管
21238	83713	禮部儀制司郎中		禮部	郎中
18255	80729	城守營左哨額外外委			
22072	84547	欽差督辦軍務總統諸軍			
19488	81962	管理健銳營事務大臣		健銳營	事務大臣#大臣
23843	86318	刑部山東司行走	山東	東司#刑部	行走
23280	85755	武備院卿		武備院	卿
24221	86697	一等承恩候			
19263	81737	工部司庫		工部#司庫	司庫
24004	86479	學堂學長			
20281	82755	會試稽察磨勘官			
21582	84057	門右翼監督		右翼	監督
20938	83413	考試漢廕生擬題大臣			大臣
24829	87305	掌儀司行走		掌儀司	行走
22036	84511	乾清門二等侍衛上效力行走			行走
25253	87729	宗人府左宗正		宗人府	左宗正
22009	84484	鉛子庫監督		鉛子庫	監督
25289	87765	總辦督練公所參謀處兼教練處		參謀處#教練處	
23395	85870	武鄉試專司稽查大臣			大臣
24414	86890	營統領			統領
20537	83011	監臨官			
21545	84020	滿提牢			
19107	81581	副參領銜		參領	
20511	82985	祭砲位大臣			大臣
20058	82532	戶部山西司額外主事	山西	西司#戶部	額外主事#主事
22482	84957	侍衛處筆帖式		侍衛處	筆帖式
22606	85081	水師嚮導營營官			
22873	85348	提標前營遊擊			遊擊
17732	80206	保和殿舉人覆試監試大臣			大臣
23962	86437	修撰			修撰
19907	82381	河標右營守備		右營	守備
18963	81437	飯房二等侍衛			二等侍衛#侍衛
22874	85349	提標前營中軍守備			守備
23338	85813	武庫司行走			行走
23406	85881	武英殿			
23905	86380	刑部直隸司從走	直隸	刑部	
23858	86333	刑部尚書協辦大學士		刑部	協辦大學士#學士#大學士
18168	80642	常備兵步隊第一標		步隊	
23134	85609	外務部左參議		外務部	參議#左參議
22151	84626	日講起居注官			日講起居注官
22720	85195	搜檢侍衛			侍衛
19785	82259	漢檔房幫總辦		檔房#漢檔房	總辦#幫總辦
20482	82956	稽察鑲藍旗蒙古旗務			
24862	87338	照磨			
18383	80857	大理院正卿		大理院	卿#正卿
18145	80619	查鑲白旗蒙古圈馬			
25446	87922	總纂官			總纂官
24110	86586	巡臺御史			御史#巡臺御史
19051	81525	福爵			
18299	80773	充文淵閣校理		文淵閣	校理
24172	86648	鹽政兼管杭州織造	杭州		
23499	85974	鄉試補行覆試閱卷大臣			大臣
24407	86883	營前鋒			
18589	81063	督辦防務			
24128	86604	衙門章京			章京
20607	83081	教習滿州恩監閱卷大臣			大臣
17743	80217	堡都司			都司
23651	86126	協堡千總			千總
17692	80166	幫辦大臣			大臣#幫辦大臣
20565	83039	監營經制外委			
21088	83563	庫倫防務差遣			
22848	85323	特用道			
18732	81206	讀祝官			讀祝官
24884	87360	鎮標中營千總		中營	千總
24913	87389	征西大將軍			將軍
18206	80680	宸苑卿			卿
23090	85565	駝馬處行走			行走
23470	85945	憲政編查館王大臣		憲政編查館	大臣
21117	83592	藍旗協領			協領
22622	85097	水師營官		水師營	
25161	87637	駐德大臣			大臣
20813	83288	喀扎薩克和碩親王			
25374	87850	總理工程處		工程處#總理工程處	
17543	80017	按察使兼署鹽法道			鹽法道
20608	83082	教習清書庶吉士			庶吉士
18725	81199	督銜			
21567	84042	門參將			參將
25215	87691	子爵一等精奇尼哈番			
21914	84389	農工商部右侍郎		商部#農工商部	右侍郎#侍郎
24455	86931	郵傳部左參議		郵傳部	參議#左參議
21548	84023	滿營協領			協領
22554	85029	水路提督			提督
20389	82863	稽查欽奉上諭事件處		稽查欽奉上諭事件處	
23340	85815	武勝新隊文案翼長			翼長
24945	87421	正黃旗都統			都統
21331	83806	吏部右侍郎		吏部	右侍郎#侍郎
20892	83367	考試翻譯內簾監試官			
25405	87881	總理衙門額外章京			章京#額外章京
21743	84218	內閣中書分發行走		內閣	行走
18637	81111	督標前營把總			把總
22005	84480	僉都御史			御史
18833	81307	二等伯			
18738	81212	度支部左侍郎		度支部	侍郎#左侍郎
23626	86101	小四處大臣			大臣
18111	80585	查辦事件委員			委員
25075	87551	中軍			
20625	83099	節制軍			
25300	87776	總辦上海機器製造局			
23236	85711	文穎館總校			總校
23926	86401	行人司副司正			
20862	83337	考試八旗文童搜檢大臣			大臣
25386	87862	總理三陵事務			
22301	84776	賞加運同銜			
20069	82543	戶部侍郎行走		戶部	行走
19340	81814	恭理喪儀大臣			大臣
23567	86042	鑲白旗索倫副總管			副總管#總管
18952	81426	翻譯閱卷官			
25496	87972	左少詹事			詹事#少詹事
21389	83864	料估所主稿		料估所	主稿
25052	87528	制處大臣			大臣
21219	83694	禮部滿尚書		禮部	尚書
24216	86692	一等超勇公			
18817	81291	額真			
17777	80251	避暑山莊總管			總管
22264	84739	散館閱卷大臣			大臣
22242	84717	三旗小學堂提調			提調
21745	84220	內閣中書舍人		內閣	中書舍人
20367	82841	稽查東四旗覺羅官學		官學	
19941	82415	宏文院檢討			檢討
24017	86492	學習御前大臣			大臣#御前大臣
23985	86460	學部參事官		學部	參事官
17728	80202	包衣佐領			佐領
21060	83535	考驗軍政專操大臣			專操大臣#大臣
19223	81697	工部筆帖氏		工部	
24437	86913	營中哨馬隊哨長		馬隊	
25414	87890	總理衙門總辦			總辦
18469	80943	典樂大臣			大臣#典樂大臣
24847	87323	掌製造庫印鑰		製造庫	
22485	84960	侍衛處學習筆帖式		侍衛處	筆帖式#學習筆帖式
17832	80306	標右營守備		右營	守備
19041	81515	奉國將軍			將軍
24799	87275	掌戶部四川司印鑰	四川	戶部	
25364	87840	總理各國事務衙門漢章京		總理各國事務衙門	章京
21536	84011	滿檔房堂主事		檔房#滿檔房	主事#堂主事
22138	84613	全權大臣			大臣
18153	80627	查閱營伍			
21983	84458	旗值年大臣			大臣
21234	83709	禮部儀制清吏司郎中		儀制清吏司#禮部	郎中
24601	87077	御前實缺大臣			大臣
25209	87685	資政院議員		資政院	議員
25408	87884	總理衙門清檔房提調		檔房#清檔房	提調
25331	87807	總督兼鹽船大臣			大臣
25067	87543	質郡王			
18101	80575	漕運總督中軍副將			副將
21285	83760	吏部考功司兼驗封司行走		吏部	行走
19176	81650	覆勘鄉試閱卷大臣			大臣
24175	86651	鹽知事銜			
24334	86810	驛傳事務			
24721	87197	在乾清門學習行走			行走
24868	87344	鎮安將軍			將軍
22524	84999	守營副將			副將
23883	86358	刑部刑科掌印給事中		刑部#刑科	掌印給事中#給事中
21131	83606	樂部署正		樂部	署正
25502	87978	左司關防事務		左司	
23218	85693	文鄉試監臨			
19169	81643	覆勘會試試卷官			
19891	82365	和碩睿親王			
21781	84256	內翰林秘書院大學士			學士#大學士
17582	80056	八旗佐年大臣			大臣
19137	81611	副領侍衛內大臣			內大臣#領侍衛內大臣#大臣
20602	83076	教授			
23390	85865	武鄉試校射大臣			大臣
20597	83071	剿撫將軍			將軍
25148	87624	主客司員外郎			外郎#員外郎
19298	81772	工部員外郎行走銜		工部	
17632	80106	辦理開墾事宜			
23324	85799	武會試提調官			提調官
18671	81145	督標中營外委		中營	
21413	83888	領侍衛內大臣			內大臣#領侍衛內大臣#大臣
23392	85867	武鄉試主考			
18450	80924	道銜			
22536	85011	署都督同知銜			
21227	83702	禮部侍郞		禮部	
22103	84578	清檔房正管理		檔房#清檔房	管理
23978	86453	宣慰使			
21573	84048	門商稅委員			委員
17940	80414	兵部右侍郎		兵部	右侍郎#侍郎
25363	87839	總理各國事務衙門翻譯官		總理各國事務衙門	翻譯官#譯官
20876	83351	考試扥忒學生主考官			
22916	85391	提標左營中軍守備		左營	守備
21062	83537	考驗幼官學大臣		官學	大臣
24027	86502	巡捕北營參將		北營	參將
18286	80760	城正藍旗公中佐領			佐領
21108	83583	藍翎侍衛乾清門當差			
21510	83985	鑾儀衛掌衛大臣		鑾儀衛	大臣
23500	85975	鄉試場內督理稽察			
20030	82504	戶部江南司郎中	江南	戶部	郎中
21335	83810	吏部掌考功司印員外郎		吏部	外郎#員外郎
20078	82552	戶部陜西司滿洲主事		西司#戶部	主事
18103	80577	冊封副使			副使
24390	86866	營都司僉書			
22141	84616	全權大臣西藏議約			
17905	80379	兵部漢本房總辦		漢本房#兵部#本房	總辦
21046	83521	考試宗室覺羅學教習主考官			
18259	80733	城守右營守備		右營	守備
22580	85055	水師提標前營千總			千總
18427	80901	代理商上事務			
19541	82015	管理稅務			
22050	84525	錢糧衙門員外郎			外郎#員外郎
22955	85430	天文算學館總教習		算學#天文算學館	總教習#教習
22700	85175	四品閒散宗室			
24080	86556	巡警軍			
22561	85036	水師兼陸路總兵官			
23849	86324	刑部山西司行走	山西	刑部#西司	行走
23791	86266	刑部廣西司主稿	廣西	刑部#西司	主稿
19347	81821	恭謁東陵管理大營事務		東陵	
24100	86576	巡視鹽政事務			
21795	84270	內弘文院侍讀學士		內弘文院	侍讀學士#學士
18562	81036	都水司印鑰			
23364	85839	武顯將軍			將軍
23167	85642	委署筆帖式			筆帖式
20788	83262	軍政大臣			大臣
17597	80071	拔貢閱卷官			
23432	85907	武英殿總纂官			總纂官
24830	87306	掌儀司員外郎		掌儀司	外郎#員外郎
17887	80361	兵部車駕司郎中		兵部	郎中
18848	81322	二等教習			教習
25383	87859	總理釐金牙帖局事			
19568	82042	管理醫局副大臣			大臣#副大臣
22869	85344	提標前營都司			都司
17997	80471	布政使司			
23924	86399	行禮官			
20106	82580	戶部右侍郎兼管錢法堂事務		錢法堂#戶部	
24039	86514	巡捕營中營遊擊		巡捕營#中營	遊擊
19102	81576	赴烏嚕木齊經理哈薩克貿易			
18673	81147	督標中營中軍守備		中營	守備
18329	80803	祠祭司行走			行走
21511	83986	鑾儀衛整儀尉		鑾儀衛	整儀尉
21014	83489	考試現任筆帖式			筆帖式
18053	80527	財政處會辦大臣		財政處	大臣#會辦大臣
18784	81258	額外參領		參領	參領
25036	87512	值年大臣			大臣
22383	84858	聖訓校勘處校對官			校對官
18578	81052	都虞司員外郎		都虞司	外郎#員外郎
20464	82938	稽察街道			
19109	81583	副大使			大使
18046	80520	部落副將軍			將軍
21374	83849	糧餉處章京		糧餉處	章京
24961	87437	正藍旗護軍統領			統領#護軍統領
20546	83020	監試大臣			大臣
17650	80124	辦理五城練勇局事宜			
21519	83994	馬步各營駐紮			
18592	81066	督辦緝捕清鄉事宜			
20061	82535	戶部山西司員外郎	山西	西司#戶部	外郎#員外郎
