c_ot_adm_id	c_ot_adm_chinm	type	c_ot_adm_engnm	c_ot_adm_desc	c_ot_adm_start	c_ot_adm_end	part1	type1	part2	type2	Unnamed: 11	Unnamed: 12	length
1137	南京戶部	o											4
1055	行太僕寺	o											4
1045	內織染局	o											4
1010	酒醋麺局	o											4
156	右提舉司	o											4
154	前鋒左營	o					前鋒		左營				4
152	南鎮撫司	o											4
151	行在兵科	o					行在		兵科				4
149	福建市舶	o					福建		市舶				4
165	北鎮撫司	o											4
174	行在刑科	o					行在		刑科				4
170	稅課分司	o											4
147	行在兵部	o					行在		兵部				4
181	行在刑部	o					行在		刑部				4
121	行在禮科	o					行在		禮科				4
126	都鎮撫司	o											4
123	行在戶部	o					行在		戶部				4
122	易州山廠	o											4
120	宣課分司	o											4
116	外牽照科	o											4
146	行在禮部	o					行在		禮部				4
139	鳳陽軍門	o											4
145	長安門倉	o											4
144	府軍左衛	o					府軍		左衛				4
141	行在中軍	o					行在		中軍				4
137	廣東市舶	o					廣東		市舶				4
136	通政使司	o											4
135	行都督府	o											4
133	內承運庫	o											4
112	惠民藥局	o											4
194	行在左軍	o					行在		左軍				4
185	行在工部	o					行在		工部				4
199	左提舉司	o								t			4
192	行在吏部	o					行在		吏部				4
204	行在右軍	o					行在		右軍				4
212	布政使司	o								o			4
211	太倉銀庫	o								o			4
184	府軍前衛	o											4
182	浙江市舶	o					浙江		市舶				4
207	西安門倉	o								o			4
206	北安門倉	o								o			4
562	照磨所	o											3
564	判錄司	o											3
500	道正司	o											3
563	將作司	o											3
561	司獄司	o											3
560	道錄司	o											3
498	光祿寺	o											3
565	光祿司	o											3
566	司天監	o											3
497	按察司	o											3
496	盔甲廠	o											3
530	水利道	o											3
495	招練道	o											3
567	國子監	o											3
568	太史監	o											3
494	刻漏房	o											3
493	六科廊	o											3
492	文思院	o											3
558	司務廳	o											3
569	太僕寺	o											3
570	太史院	o											3
571	太常司	o											3
572	太醫監	o											3
573	太醫院	o											3
574	欽天監	o											3
1172	公主府	o											3
559	僧錄司	o											3
556	中書省	o											3
557	資德院	o											3
520	寶鈔司	o											3
513	主客部	o											3
515	司苑局	o											3
516	司經局	o											3
517	銀作局	o											3
518	兵仗局	o											3
519	司設監	o											3
538	良牧署	o											3
537	犧牲所	o											3
536	廣東司	o											3
534	蕃育署	o											3
541	武英殿	o											3
521	尚寶監	o											3
522	神宮監	o											3
523	尚膳監	o											3
524	右春坊	o											3
525	直殿監	o											3
526	都知監	o											3
531	營繕所	o											3
527	左春坊	o											3
528	鐘鼓司	o											3
540	批驗所	o											3
542	御馬倉	o											3
529	鍼工局	o											3
509	大勝關	o											3
502	都察院	o											3
503	廣東道	o											3
504	宣撫司	o											3
505	戎政廳	o											3
506	贓罰庫	o											3
555	考功所	o											3
554	參議府	o											3
553	道會司	o											3
507	珍羞署	o											3
